,,"Name (click to view profile)","Profile ID",Date,Likes,"Live video timestamp",Comment,"Image URLs","Author Avatar","Comment Edited","Comment URL"
21,,"Genessis Vera",pfbid0YDQJSE4pmy2kJzsbY8Xew94GhRKNGZk7CaoSxCYnuhHpabCg9VFcBZ2qCpgLK6R9l,"2024-10-25 07:40:30",34,-,"Que estamos esperando para poner cartas en el asunto? El pueblo tiene voz también 😤",,https://scontent.fkul8-5.fna.fbcdn.net/v/t39.30808-1/421491840_3514989302087866_8313155532102350175_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=102&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=5pUDIEZOHzQQ7kNvgEfxBOv&_nc_zt=24&_nc_ht=scontent.fkul8-5.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYBeOYg4ygHE90ojKGuWpM6fBIgVflDsEabqkdSIEsUtjA&oe=6742C243,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/536526705985970
22,,"Lanie Castro",pfbid0UnkR7aCn54aDUKWanGcRm82XFp4adBYDQ4QZS3YTucUzAHQt92P1WmJpZUGXbjQql,"2024-10-25 07:41:53",13,-,"UDS SON UNOS SIN VERGUENZAS EN SERIO!!! Y COMO SIEMPRE, YA SE LES HA HECHO COSTUMBRE SUBIR LOS NUEVOS HORARIOS EN HORAS QUE LA MAYORÍA DE LA GENTE YA ESTÁ DURMIENDO PARA QUE NO LOS MANDEN A DONDE YA SABEMOS!!! INEPTOS, INÚTILES! RENUNCIEN EL MEJOR FAVOR QUE NOS PUEDEN HACER.",,https://scontent.fkul8-2.fna.fbcdn.net/v/t39.30808-1/450069936_1855336828284017_110504666710801092_n.jpg?stp=c0.28.586.586a_cp0_dst-jpg_s64x64&_nc_cat=110&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=Vfk_a88eNWwQ7kNvgHQL3mL&_nc_zt=24&_nc_ht=scontent.fkul8-2.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYBNVlgcRquOffYVYZQdzwnnM2JE0uX3JvolHSqCPkiCPw&oe=6742BA78,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/578306564629682
23,,"Genesis Ruseth Suarez",pfbid02cBqNgdf8CgP9nqZW1v8ejr9jWj9BPh6PkdFACRMQR1xC7JoZVupBo81odm2vJYL3l,"2024-10-25 07:58:45",2,-,"Q coraje y la planilla me salio carisimo ami q no me jodan no voy apagar y vengan corte la luz q agua hirviendo le tiro estoy arrecha no se xq cobran si no hay  luz 🤬🤬🤬🤬🤬🤬",,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/434162090_3638183759757010_7242224351075700077_n.jpg?stp=c0.0.612.612a_cp0_dst-jpg_s64x64&_nc_cat=105&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=6-BionN2ahQQ7kNvgEqpM54&_nc_zt=24&_nc_ht=scontent-sof1-1.xx&_nc_gid=AWYzL2p1t1qz-UX0AKGDcgx&oh=00_AYCnunWKrG9dll8mT6XJ634REnRUtk9o_qJhamsgUPTKew&oe=6742C743,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/541790722120534
24,,"Edwin Javier López",pfbid0WkyyXZf39HRcPqMnJpfQ113Zp5RwyxbvS76zMna84ZmuDmyMPsbGE8Eh8tvu2tiyl,"2024-10-25 08:08:23",6,-,"Viva el Ecuador del inepto del cartón , el ecuador del 52%, el cartón cuando ve la cosa sería sale y habla mentiras analicen , seguido de los sinvergüenzas ministros",,https://scontent.fkul8-2.fna.fbcdn.net/v/t39.30808-1/332568169_1335812780596728_8064616611125394798_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=108&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=VVYMZA-HvHkQ7kNvgETLTKG&_nc_zt=24&_nc_ht=scontent.fkul8-2.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYBqDXlKkSrYvplKJiFAvqjtpvZguh-R__bNmkDGpZPitw&oe=6742CAC6,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/1060346965770291
25,,"Edwin Javier López",pfbid0WkyyXZf39HRcPqMnJpfQ113Zp5RwyxbvS76zMna84ZmuDmyMPsbGE8Eh8tvu2tiyl,"2024-10-25 08:08:39",21,-,"Estamos peor que cuba o Venezuela",,https://scontent.fkul8-2.fna.fbcdn.net/v/t39.30808-1/332568169_1335812780596728_8064616611125394798_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=108&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=VVYMZA-HvHkQ7kNvgETLTKG&_nc_zt=24&_nc_ht=scontent.fkul8-2.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYBqDXlKkSrYvplKJiFAvqjtpvZguh-R__bNmkDGpZPitw&oe=6742CAC6,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/1541186013434004
26,,"Luis Pi",pfbid04q3tvdCeZxFtyQxqL7vHjsokNXuvaCpFwT1DEAfaPB7VeEtWhyYUQwpFZJ1k2sTEl,"2024-10-25 08:11:07",64,-,"ADELANTE ELECCIONES URGENTE el pais no aguanta más donde están las marchas de la izquierda y demás partidos políticos NO HAY TRABAJO DESEMPLEO, LOS ELECTRÓNICOS DAÑÁNDOSE sino salen a las protestas este país no llegará a fin de año nisiquiera a Navidad ESTAREMOS HUNDIDOS Y DESTRUIDOS ECONÓMICAMENTE",,https://scontent.fkul8-5.fna.fbcdn.net/v/t39.30808-1/448843987_1495996077670105_1599106244894813296_n.jpg?stp=c0.0.240.240a_cp0_dst-jpg_s64x64&_nc_cat=102&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=2EmGhHxcQrsQ7kNvgFbViJF&_nc_zt=24&_nc_ht=scontent.fkul8-5.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYBnyH9GuBtE_uucQ3n9yKsPlJ_the5c1vQIw0h-OHd-hg&oe=6742D8AC,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/8486203468164467
27,,"Katherine Gavilanez",100001188875130,"2024-10-25 08:24:08",5,-,"Lo bueno de la confusión de horarios, es que las empresas de internet se olvidaron de apagar la señal porque ahí si bien que confusiona. Todo está atado a la estafa para el pueblo y las planillas de todo siguen altas.",,https://scontent.fkul8-3.fna.fbcdn.net/v/t39.30808-1/415085241_6892863830763178_2138642844497509121_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=104&ccb=1-7&_nc_sid=50d2ac&_nc_ohc=kOKxVI277vYQ7kNvgGyp545&_nc_zt=24&_nc_ht=scontent.fkul8-3.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYCeGgGFEwTHM5GQCuoz3A1Dq3V75QSbmLCyxiO3SAJ4xQ&oe=6742AD72,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/1481906445829645
28,,"Rodas Freddezi Valeska",100010196655486,"2024-10-25 08:26:18",0,-,"Alguien que pueda ver. El horario de milagro sector naranjal km 15 que me pase información por favor no tengo datos 🥺🙏",,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/465030451_2334191193597413_5585859362515488425_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=106&ccb=1-7&_nc_sid=50d2ac&_nc_ohc=Z9f7XRe1uLsQ7kNvgHoqASl&_nc_zt=24&_nc_ht=scontent-sof1-1.xx&_nc_gid=AWYzL2p1t1qz-UX0AKGDcgx&oh=00_AYAa9e-g9MD24SOLw6IWx-XicPtCVFqDdHaGWOPSWHQxRQ&oe=6742BB6F,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/530101189888154
29,,"Sñt Moreira",pfbid02rLmRnrMtv8rxHyDUJtJeXkv8BXjiHjZrDDETKw1wr7W473fGzBHTaDYSmhTpcEynl,"2024-10-25 08:47:35",24,-,"Ecuador país donde hayAlto en sicariatos Medio en luz No contiene seguridadGracias mi querido presidente se nota lo que dijo que Hiba hacer🤨",,https://scontent.fkul8-3.fna.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png_s64x64&_nc_cat=1&ccb=1-7&_nc_sid=136b72&_nc_ohc=bYLP8ChJYTYQ7kNvgFnuW_8&_nc_zt=24&_nc_ht=scontent.fkul8-3.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYAfxP6fSY4hXfe3_bWYg5BemLsz80FeHor8u_Ul-DLw6A&oe=67644FBA,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/1584326335493036
30,,"Jonathan Velecela",pfbid0Q6AGCUkD28eiPxALeimRjt7PqyLKRjJUVuGrApCHk7R8YPyG1vDvfSdXzvN945Pjl,"2024-10-25 09:05:50",34,-,"Yo pienso que ya mejor digan a que horas no más va haber luz, esos Cortes están demasiado lampara",,https://scontent.fkul8-5.fna.fbcdn.net/v/t39.30808-1/458196547_3813130492258277_6701175922864393570_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=111&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=MPcK6S_cwVwQ7kNvgEEcVKo&_nc_zt=24&_nc_ht=scontent.fkul8-5.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYDOfvUffLkxuzWmy7JmporTw5tIBtqz5TY_sFA8QptIdQ&oe=6742BCC3,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/1520118938691649
