area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c18;c19;c20a;c21a;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;10150;009903;002;05;1;2;2;2;2;2;2;2;2;010150009903;01015000990300205;010150009903002051;2713;122,315895013458;202201
1;10150;009903;002;06;1;3;2;3;2;3;3;3;3;010150009903;01015000990300206;010150009903002061;2713;122,315895013458;202201
1;10150;009903;002;07;1;2;2;2;2;3;3;2;2;010150009903;01015000990300207;010150009903002071;2713;122,315895013458;202201
1;10150;010102;001;01;1;2;2;2;2;2;2;2;2;010150010102;01015001010200101;010150010102001011;2713;242,045122719433;202201
1;10150;010102;001;02;1;2;2;2;1;3;2;1;1;010150010102;01015001010200102;010150010102001021;2713;242,045122719433;202201
1;10150;010102;001;03;1;2;2;1;2;2;2;3;3;010150010102;01015001010200103;010150010102001031;2713;242,045122719433;202201
1;10150;010102;001;04;1;3;2;2;1;2;2;3;3;010150010102;01015001010200104;010150010102001041;2713;242,045122719433;202201
1;10150;010102;001;05;1;2;2;2;2;1;2;1;2;010150010102;01015001010200105;010150010102001051;2713;242,045122719433;202201
1;10150;010102;001;06;1;2;2;1;2;2;2;3;3;010150010102;01015001010200106;010150010102001061;2713;242,045122719433;202201
1;10150;010102;001;07;1;2;2;2;2;3;3;2;2;010150010102;01015001010200107;010150010102001071;2713;242,045122719433;202201
1;10150;010702;001;01;1;2;1;1;2;1;1;3;2;010150010702;01015001070200101;010150010702001011;2713;101,849093800801;202201
1;10150;010702;001;02;1;2;2;2;2;3;2;3;2;010150010702;01015001070200102;010150010702001021;2713;101,849093800801;202201
1;10150;010702;001;03;1;2;2;1;2;3;2;2;2;010150010702;01015001070200103;010150010702001031;2713;101,849093800801;202201
1;10150;010702;001;04;1;2;2;1;2;3;3;3;3;010150010702;01015001070200104;010150010702001041;2713;101,849093800801;202201
1;10150;010702;001;06;1;3;3;2;1;3;3;3;3;010150010702;01015001070200106;010150010702001061;2713;101,849093800801;202201
1;10150;010702;001;07;1;3;2;1;3;3;3;3;3;010150010702;01015001070200107;010150010702001071;2713;101,849093800801;202201
1;10150;010702;001;09;1;2;2;1;2;3;2;3;2;010150010702;01015001070200109;010150010702001091;2713;101,849093800801;202201
1;10150;011202;001;01;1;2;2;1;2;2;2;2;2;010150011202;01015001120200101;010150011202001011;2712;151,083016584259;202201
1;10150;011202;001;02;1;2;2;1;1;3;3;3;3;010150011202;01015001120200102;010150011202001021;2712;151,083016584259;202201
1;10150;011202;001;03;1;2;2;3;2;3;2;2;2;010150011202;01015001120200103;010150011202001031;2712;151,083016584259;202201
1;10150;011202;001;04;1;2;2;2;2;2;2;2;2;010150011202;01015001120200104;010150011202001041;2712;151,083016584259;202201
1;10150;011202;001;05;1;2;2;2;2;2;2;3;2;010150011202;01015001120200105;010150011202001051;2712;151,083016584259;202201
1;10150;011202;001;06;1;2;2;1;2;2;2;2;2;010150011202;01015001120200106;010150011202001061;2712;151,083016584259;202201
1;10150;011202;001;07;1;2;2;2;2;3;2;3;3;010150011202;01015001120200107;010150011202001071;2712;151,083016584259;202201
1;10150;013905;029;01;1;2;3;3;2;2;1;2;3;010150013905;01015001390502901;010150013905029011;2712;121,846099241104;202201
1;10150;013905;029;02;1;2;2;2;3;2;2;2;2;010150013905;01015001390502902;010150013905029021;2712;121,846099241104;202201
1;10150;013905;029;03;1;2;3;2;2;3;1;2;2;010150013905;01015001390502903;010150013905029031;2712;121,846099241104;202201
