CIUDAD,NOMBRE,coddom,DOMINIO,ZONA,SECTOR,VIVIENDA,HOGAR,RV00,RV32,RV33,RV34,RV35,RV37,RV38,RV39,RV310,fexph,fexpp
30150,AZOGUES,301,AZOGUES,8,5,21,1,1,1,3,2,1,30150,5,,,9.142021876,27.426065628
30150,AZOGUES,301,AZOGUES,8,9,10,1,1,1,12,2,1,30150,5,,1.0,9.142021876,18.284043752
30150,AZOGUES,301,AZOGUES,8,11,17,1,1,1,4,1,1,30150,5,,1.0,10.448025,31.344075
30150,AZOGUES,301,AZOGUES,8,12,12,1,1,1,12,2,1,30150,5,,1.0,9.142021876,36.568087504
30250,BIBLIAN,302,BIBLIAN,2,7,6,1,1,1,1,1,1,30250,5,,1.0,9.357796286,46.78898143
30350,CAÑAR,303,CAÑAR,1,6,4,1,1,1,12,1,1,30350,5,,1.0,8.907592377,26.722777131
30350,CAÑAR,303,CAÑAR,1,6,14,1,1,1,8,2,1,30350,5,,1.0,8.907592377,53.445554262
30350,CAÑAR,303,CAÑAR,1,6,23,1,1,1,1,1,1,30350,5,,1.0,8.907592377,53.445554262
30350,CAÑAR,303,CAÑAR,1,8,2,1,1,1,12,1,1,30350,5,,1.0,8.907592377,17.815184754
30350,CAÑAR,303,CAÑAR,1,8,12,1,1,1,5,2,1,30350,5,,1.0,8.907592377,17.815184754
30350,CAÑAR,303,CAÑAR,2,1,2,1,1,1,6,2,1,30350,5,,1.0,10.18010557,30.54031671
30350,CAÑAR,303,CAÑAR,2,1,8,1,1,1,6,2,1,30350,5,,1.0,10.18010557,40.72042228
30350,CAÑAR,303,CAÑAR,2,9,14,1,1,1,12,2,1,30350,5,,1.0,9.294879002,27.884637006
30350,CAÑAR,303,CAÑAR,3,1,18,1,1,1,9,1,1,30350,5,,1.0,9.294879002,18.589758004
30450,LA TRONCAL,304,LA TRONCAL,2,6,10,1,1,1,12,2,1,30450,5,,1.0,9.506173622,9.506173622
30450,LA TRONCAL,304,LA TRONCAL,2,7,1,1,1,1,12,2,1,30450,5,,1.0,8.713992487,17.427984974
30450,LA TRONCAL,304,LA TRONCAL,4,8,10,1,1,1,7,1,1,30450,5,,1.0,8.713992487,17.427984974
