CIUDAD,NOMBRE,coddom,DOMINIO,ZONA,SECTOR,VIVIENDA,HOGAR,RV00,RV32,RV33,RV34,RV35,RV37,RV38,RV39,RV310,fexph,fexpp
10150,CUENCA,0101,CUENCA,58,11,20,1,1,2,10,2,2,10150,5, ,1,33.33441235,133.3376494
10150,CUENCA,0101,CUENCA,60,5,6,1,1,1,7,2,1,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,61,1,7,1,1,1,2,2,2,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,61,1,11,1,1,1,1,2,1,10150,5, ,1,31.94547851,159.72739255
10150,CUENCA,0101,CUENCA,61,1,13,1,1,4,7,2,2,10150,2,1,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,61,1,15,1,1,1,9,1,1,10150,4,1,1,31.94547851,127.78191404
10150,CUENCA,0101,CUENCA,62,3,1,1,1,4,4,2,2,10150,5, ,1,33.33441235,66.6688247
10150,CUENCA,0101,CUENCA,62,3,18,1,1,1,4,2,1,10150,4,1,1,33.33441235,133.3376494
10150,CUENCA,0101,CUENCA,62,3,23,1,1,2,9,2,1,10150,5, ,1,33.33441235,66.6688247
10150,CUENCA,0101,CUENCA,62,6,6,1,1,2,2,2,1,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,65,6,8,1,1,1,8,2,2,10150,5, ,1,33.33441235,100.00323705
10150,CUENCA,0101,CUENCA,65,6,11,1,1,1,2,2,1,10150,5, ,1,33.33441235,66.6688247
10150,CUENCA,0101,CUENCA,69,1,1,1,1,1,8,2,2,10150,2,2,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,70,5,23,1,1,1,1,1,1,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,71,7,3,1,1,1,5,2,2,10150,2,2,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,71,7,15,1,1,1,4,2,1,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,73,2,5,1,1,1,12,1,2,10150,2,2,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,73,2,6,1,1,1,2,2,1,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,77,3,10,1,1,1,1,2,2,10150,5, ,1,31.94547851,63.89095702
