Agente;TipodeCentral;Central;Unidad;Julio;Agosto;Septiembre
INTERVISA TRADE;T;C. T.  VICTORIA II NAFTA;VICTORIA II U1 NAFTA;No hubo producci�n en este periodo;No hubo producci�n en este periodo;No hubo producci�n en este periodo
LOJAENERGY;FVOL;C. F. LOJAENERGY;LOJAENERGY FV U01;0,12;0,15;0,13
RENOVALOJA;FVOL;C. F. RENOVALOJA;RENOVALOJA FV U01;0,12;0,13;0,11
SANSAU;FVOL;C. F.  SANSAU;SANSAU FV U01;0,08;0,08;0,08
SAN CARLOS -A-;BMAS;C. T. SAN CARLOS;SAN CARLOS U1;25,78;27,13;24,74
SABIANGO;FVOL;C. F. SABIANGO;SABIANGO FV U01;0,15;0,16;0,14
SOLCHACRAS;FVOL;C. F. SOLCHACRAS;SOLCHACRAS FV U01;0,10;0,08;0,07
SOLHUAQUI;FVOL;C. F. SOLHUAQUI;SOLHUAQUI FV U01;0,09;0,08;0,07
SIPENERGY S.A.;H;C. H. HUAYQUICHUMA;HUAYQUICHUMA U1;0,93;1,05;0,56
SIPENERGY S.A.;H;C. H. HUAYQUICHUMA;HUAYQUICHUMA U2;1,60;0,76;0,81
SOLSANTROS;FVOL;C. F. SOLSANTROS;SOLSANTROS FV U01;0,13;0,12;0,13
SANERSOL;FVOL;C. F. SANERSOL;SANERSOL FV U01;0,13;0,12;0,12
SOLSANTONIO;FVOL;C. F. SOLSANTONIO;SOLSANTONIO FV U01;0,10;0,09;0,08
SAN PEDRO;FVOL;C. F. SAN PEDRO;SAN PEDRO FV U01;0,15;0,15;0,13
SURENERGY;FVOL;C. F. SURENERGY;SURENERGY FV U01;0,12;0,13;0,10
SARACAYSOL;FVOL;C. F. SARACAYSOL;SARACAYSOL FV U01;0,14;0,12;0,12
UNACEM;T;C. T. LAFARGE;LAFARGE U1;0,07;0,66;0,12
VALSOLAR;FVOL;C. F. PARAGACHI;PARAGACHI FV U1;0,10;0,11;0,09
VICUNHA;H;CENTRAL HIDROEL�CTRICA VINDOBONA;VINDOBONA U1;0,25;0,33;0,18
WILDTECSA;FVOL;C. F.  WILDTECSA;WILDTECSA FV U01;0,08;0,08;0,08
CELEC E.P. SUR;H;C. H. MAZAR;MAZAR U1;31,61;29,14;29,08
CELEC E.P. SUR;H;C. H. MAZAR;MAZAR U2;19,92;30,97;24,87
CELEC E.P. SUR;H;C. H. MINAS SAN FRANCISCO;MINAS SAN FRANCISCO U1;21,99;9,98;6,08
CELEC E.P. SUR;H;C. H. MINAS SAN FRANCISCO;MINAS SAN FRANCISCO U2;10,53;1,86;3,26
CELEC E.P. SUR;H;C. H. MINAS SAN FRANCISCO;MINAS SAN FRANCISCO U3;23,38;2,53;2,42
CELEC E.P. SUR;H;C. H. PAUTE;MOLI_U10_GEN.HIDR;30,34;36,63;38,70
CELEC E.P. SUR;H;C. H. PAUTE;MOLI_U_1_GEN.HIDR;29,44;30,21;30,40
CELEC E.P. SUR;H;C. H. PAUTE;MOLI_U_2_GEN.HIDR;33,14;28,48;34,11
CELEC E.P. SUR;H;C. H. PAUTE;MOLI_U_3_GEN.HIDR;42,53;36,58;36,72
CELEC E.P. SUR;H;C. H. PAUTE;MOLI_U_4_GEN.HIDR;38,47;33,86;31,53
CELEC E.P. SUR;H;C. H. PAUTE;MOLI_U_5_GEN.HIDR;31,87;37,05;35,75
CELEC E.P. SUR;H;C. H. PAUTE;MOLI_U_6_GEN.HIDR;53,94;45,45;37,82
CELEC E.P. SUR;H;C. H. PAUTE;MOLI_U_7_GEN.HIDR;31,09;34,32;33,49
CELEC E.P. SUR;H;C. H. PAUTE;MOLI_U_8_GEN.HIDR;49,07;32,96;38,42
CELEC E.P. SUR;H;C. H. PAUTE;MOLI_U_9_GEN.HIDR;47,03;38,81;43,65
CELEC E.P. SUR;H;C. H. SOPLADORA;SOPLADORA U1;70,73;39,22;80,85
CELEC E.P. SUR;H;C. H. SOPLADORA;SOPLADORA U2;46,33;54,68;42,26
